GEO.id,GEO.id2,GEO.display-label,popchg4201072017,natinc4201072017,births4201072017,deaths4201072017,netmig4201072017,intlmig4201072017,dommig4201072017,popchg20162017,natinc20162017,births20162017,deaths20162017,netmig20162017,intlmig20162017,dommig20162017
Id,Id2,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - Domestic"
310M300US37900,37900,"Peoria, IL Metro Area",-6759,7695,35268,27573,-14415,3106,-17521,-3173,895,4711,3816,-4079,468,-4547
310M300US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",130427,130620,520600,389980,2901,149902,-147001,18968,14065,70230,56165,5120,23269,-18149
310M300US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",544141,205702,428751,223049,336896,73046,263850,88772,25216,59592,34376,63359,12070,51289
310M300US38220,38220,"Pine Bluff, AR Metro Area",-9315,543,8244,7701,-10001,87,-10088,-1449,-1,1055,1056,-1455,20,-1475
310M300US38300,38300,"Pittsburgh, PA Metro Area",-22924,-24100,173472,197572,2903,27300,-24397,-8169,-3825,23614,27439,-4274,4359,-8633
310M300US38340,38340,"Pittsfield, MA Metro Area",-4959,-2580,7882,10462,-2325,1699,-4024,-545,-375,1012,1387,-165,288,-453
310M300US38540,38540,"Pocatello, ID Metro Area",2430,4533,9391,4858,-2090,1236,-3326,890,548,1210,662,344,235,109
310M300US38860,38860,"Portland-South Portland, ME Metro Area",17981,1585,36108,34523,16708,5790,10918,3822,-8,5000,5008,3836,954,2882
310M300US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",227167,81282,201872,120590,145381,38542,106839,30066,10345,28220,17875,19719,6335,13384
310M300US38940,38940,"Port St. Lucie, FL Metro Area",49322,-4183,30774,34957,53232,7899,45333,8866,-979,4387,5366,9822,1288,8534
310M300US39140,39140,"Prescott, AZ Metro Area",17153,-6642,13498,20140,23582,324,23258,3805,-1008,1887,2895,4792,57,4735
310M300US39300,39300,"Providence-Warwick, RI-MA Metro Area",19912,12606,120526,107920,7990,41325,-33335,5244,1511,16542,15031,3793,6381,-2588
310M300US39340,39340,"Provo-Orem, UT Metro Area",90790,72286,88776,16490,18739,4544,14195,16197,10272,12610,2338,5902,720,5182
310M300US39380,39380,"Pueblo, CO Metro Area",7412,1564,13621,12057,5924,337,5587,1641,144,1859,1715,1498,53,1445
310M300US39460,39460,"Punta Gorda, FL Metro Area",22065,-10190,7408,17598,31901,2424,29477,3876,-1618,1047,2665,5465,418,5047
310M300US39540,39540,"Racine, WI Metro Area",643,4921,17442,12521,-4243,737,-4980,1061,701,2387,1686,372,112,260
310M300US39580,39580,"Raleigh, NC Metro Area",204590,63578,113109,49531,139611,28632,110979,30183,8370,16122,7752,21750,4407,17343
310M300US39660,39660,"Rapid City, SD Metro Area",12234,5903,13872,7969,6298,749,5549,1971,663,1838,1175,1302,38,1264
310M300US39740,39740,"Reading, PA Metro Area",6316,7710,35030,27320,-1269,10471,-11740,2122,922,4696,3774,1216,1738,-522
310M300US39820,39820,"Redding, CA Metro Area",2698,-64,15109,15173,2945,1608,1337,1147,-102,2042,2144,1259,270,989
310M300US39900,39900,"Reno, NV Metro Area",39156,13024,39505,26481,26147,3662,22485,8175,1718,5617,3899,6423,576,5847
310M300US40060,40060,"Richmond, VA Metro Area",86117,34058,108313,74255,52143,24804,27339,11999,4424,15164,10740,7616,3540,4076
310M300US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",355705,234825,442295,207470,122184,43685,78499,57017,29083,60916,31833,28037,6787,21250
310M300US40220,40220,"Roanoke, VA Metro Area",5458,-113,24460,24573,5737,5239,498,1026,-2,3470,3472,1050,753,297
310M300US40340,40340,"Rochester, MN Metro Area",11403,10001,21063,11062,1479,4577,-3098,2184,1348,2897,1549,846,735,111
310M300US40380,40380,"Rochester, NY Metro Area",-1743,14379,84317,69938,-15934,22718,-38652,-404,1544,11310,9766,-1946,3459,-5405
310M300US40420,40420,"Rockford, IL Metro Area",-11140,7451,30366,22915,-18789,2698,-21487,-1359,1018,4093,3075,-2382,440,-2822
310M300US40580,40580,"Rocky Mount, NC Metro Area",-5636,670,12392,11722,-6338,440,-6778,-563,-63,1621,1684,-500,89,-589
310M300US40660,40660,"Rome, GA Metro Area",1297,1221,8725,7504,123,914,-791,993,138,1217,1079,855,153,702
310M300US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",175740,78037,198466,120429,98822,49560,49262,29651,9067,27148,18081,20610,7722,12888
310M300US40980,40980,"Saginaw, MI Metro Area",-8235,1468,16380,14912,-9783,1268,-11051,-351,75,2174,2099,-422,196,-618
310M300US41060,41060,"St. Cloud, MN Metro Area",8666,8883,18313,9430,-167,3364,-3531,1720,1266,2552,1286,460,604,-144
310M300US41100,41100,"St. George, UT Metro Area",27547,7564,16102,8538,19813,-254,20067,6425,901,2176,1275,5496,-39,5535
310M300US41140,41140,"St. Joseph, MO-KS Metro Area",-397,1823,11254,9431,-2209,1826,-4035,8,347,1530,1183,-341,315,-656
310M300US41180,41180,"St. Louis, MO-IL Metro Area",19575,60169,246280,186111,-39894,27666,-67560,556,6388,33143,26755,-5796,4032,-9828
