Source: CPS Annual Social and Economic (March) Supplement 201703
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
"Same County","141765","0","3501","19717","12096","0","0","5520","0","0","15908","26024","8656","22289","0","14273","6548","0","3933","0","3300",""
" -> Total -> Total Nevada","2883934","2481051","22398","39351","37362","59237","4531","12180","4986","0","19708","53027","7900","72832","0","27739","0","6523","855","3725","30529",""
"Not Elsewhere Classified","2483423","2481051","0","0","0","0","0","0","1656","0","0","0","0","0","0","0","0","0","0","0","716",""
"Different County, Same State","20985","0","0","0","1153","11251","0","3099","0","0","0","0","1288","4194","0","0","0","0","0","0","0",""
"Different State","98137","0","1798","3269","10726","45232","0","0","3330","0","0","0","0","9064","0","0","0","6523","855","0","17340",""
"Same County","281389","0","20600","36082","25483","2754","4531","9081","0","0","19708","53027","6612","59574","0","27739","0","0","0","3725","12473",""
" -> Total -> Total New Hampshire","1286377","1178656","8815","6612","10551","17958","0","3129","1470","0","11864","15169","4358","2062","0","4017","845","0","5816","0","15055",""
"Not Elsewhere Classified","1181192","1178656","0","0","0","2536","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","10969","0","638","0","3071","1474","0","0","0","0","1543","0","0","0","0","0","0","0","0","0","4243",""
"Different State","44322","0","6883","1852","2436","13948","0","0","1470","0","6454","3288","0","1317","0","2076","0","0","766","0","3832",""
"Same County","49894","0","1294","4760","5044","0","0","3129","0","0","3867","11881","4358","745","0","1941","845","0","5050","0","6980",""
" -> Total -> Total New Jersey","8605537","7957711","58242","26910","90045","85294","8511","69962","7071","4080","70247","45185","28943","99118","0","19431","7398","0","0","0","27389",""
"Not Elsewhere Classified","7991285","7957711","0","0","5925","13711","0","3931","0","0","0","4944","0","0","0","0","0","0","0","0","5063",""
"Different County, Same State","146961","0","15834","3440","50502","4854","0","14641","7071","0","0","8831","0","7497","0","10383","7398","0","0","0","16510",""
"Different State","161741","0","33361","7628","12292","65158","8511","22015","0","4080","0","2383","2176","4137","0","0","0","0","0","0","0",""
"Same County","305550","0","9047","15842","21326","1571","0","29375","0","0","70247","29027","26767","87484","0","9048","0","0","0","0","5816",""
" -> Total -> Total New Mexico","2005281","1739331","11909","31445","39566","13248","4045","13591","8451","2496","19634","40730","10882","17606","0","23949","14263","0","7034","0","7101",""
"Not Elsewhere Classified","1749382","1739331","429","0","9288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","334",""
"Different County, Same State","26672","0","0","4403","1524","2278","1441","0","0","1668","2277","1034","0","0","0","7685","4042","0","320","0","0",""
"Different State","23356","0","1792","0","2979","5402","2604","696","2613","0","1070","2643","0","801","0","1259","1497","0","0","0","0",""
"Same County","205871","0","9688","27042","25775","5568","0","12895","5838","828","16287","37053","10882","16805","0","15005","8724","0","6714","0","6767",""
" -> Total -> Total New York","18588442","17220699","46248","100165","221708","151793","20524","60974","14930","4475","167068","294005","16370","88149","8474","59281","26850","14516","29861","0","42352",""
"Not Elsewhere Classified","17314948","17220699","0","0","10025","43367","0","0","0","0","0","22884","0","0","0","0","6590","0","3637","0","7746",""
"Different County, Same State","290495","0","13449","54268","48258","13078","20524","4609","0","0","34086","28871","4368","24454","1850","15858","0","1999","3208","0","21615",""
"Different State","158917","0","6410","0","12738","86614","0","0","9101","0","0","29434","0","0","0","0","3732","9004","0","0","1884",""
"Same County","824082","0","26389","45897","150687","8734","0","56365","5829","4475","132982","212816","12002","63695","6624","43423","16528","3513","23016","0","11107",""
" -> Total -> Total North Carolina","9815196","8785974","53026","173164","141089","88657","15241","52732","6231","9889","42395","226748","9220","53181","6215","43795","26152","10738","16742","0","54007",""
"Not Elsewhere Classified","8801285","8785974","1504","0","9811","0","0","0","0","2009","0","0","0","0","0","0","1987","0","0","0","0",""
"Different County, Same State","236677","0","3083","51327","45526","1883","8151","18951","0","2763","16777","41998","0","10004","6215","2655","5900","10738","6386","0","4320",""
"Different State","249015","0","10398","19392","17244","78619","0","15418","6231","5117","0","18597","4792","25986","0","0","10119","0","0","0","37102",""
"Same County","528219","0","38041","102445","68508","8155","7090","18363","0","0","25618","166153","4428","17191","0","41140","8146","0","10356","0","12585",""
" -> Total -> Total North Dakota","753199","660827","3259","10338","12720","16598","979","3203","419","2433","9285","10737","2333","3940","0","7514","1993","0","2063","0","4558",""
"Not Elsewhere Classified","666137","660827","0","0","0","3942","0","0","0","0","0","0","1368","0","0","0","0","0","0","0","0",""
"Different County, Same State","17877","0","2877","884","4487","3070","0","1465","0","0","0","0","965","399","0","1970","1142","0","0","0","618",""
"Different State","14762","0","201","450","4835","6259","979","0","0","0","0","571","0","0","0","0","498","0","0","0","969",""
"Same County","54423","0","181","9004","3398","3327","0","1738","419","2433","9285","10166","0","3541","0","5544","353","0","2063","0","2971",""
" -> Total -> Total Ohio","11361033","9924010","111743","126810","174018","66951","0","81184","2313","14521","110876","237577","36155","102537","29872","172071","90985","4409","0","0","75001",""
