"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
"Different State","15923","0","0","2394","913","6258","0","730","0","0","0","3371","0","0","0","0","750","0","0","0","1507",""
"Same County","63576","0","3400","10879","5828","4352","806","3899","0","810","2037","16520","1163","4816","0","3521","1106","0","1035","0","3404",""
" -> Total -> Total Ohio","11198932","9852828","32463","153303","127576","167412","8348","136784","12428","0","105447","180709","104763","102012","0","79268","19153","0","53686","14191","48561",""
"Not Elsewhere Classified","9896864","9852828","0","0","17318","11573","0","0","0","0","3043","0","0","6227","0","0","0","0","0","0","5875",""
"Different County, Same State","385218","0","0","32551","32783","58562","8348","84354","0","0","12825","42745","35871","16007","0","16472","0","0","29439","0","15261",""
"Different State","151861","0","0","16718","24646","86183","0","0","0","0","0","0","0","4049","0","4577","0","0","15688","0","0",""
"Same County","764989","0","32463","104034","52829","11094","0","52430","12428","0","89579","137964","68892","75729","0","58219","19153","0","8559","14191","27425",""
" -> Total -> Total Oklahoma","3834217","3443560","28826","43086","29194","6798","1647","34906","7734","4090","40428","69070","7199","24084","0","45547","12316","0","5869","1895","27968",""
"Not Elsewhere Classified","3455186","3443560","2554","1987","0","0","0","0","0","0","0","0","0","0","0","0","4789","0","0","0","2296",""
"Different County, Same State","69696","0","4567","3293","3301","2724","0","25247","0","0","6180","2152","0","1312","0","13226","3428","0","4266","0","0",""
"Different State","25147","0","3756","0","7063","0","1647","0","1648","1047","0","0","0","0","0","0","2716","0","1603","0","5667",""
"Same County","284188","0","17949","37806","18830","4074","0","9659","6086","3043","34248","66918","7199","22772","0","32321","1383","0","0","1895","20005",""
" -> Total -> Total Oregon","4203921","3676338","31652","86677","49772","14206","3474","13131","0","27365","44597","114722","22409","24656","4065","11983","17137","2092","20637","0","39008",""
"Not Elsewhere Classified","3712208","3676338","1885","12154","3451","0","0","0","0","8273","0","10107","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","101946","0","4347","5419","11000","2560","2441","2125","0","10615","0","53834","0","0","0","1343","0","0","4788","0","3474",""
"Different State","79451","0","0","12784","15690","3853","0","4610","0","2859","9293","0","11195","0","0","0","12123","966","0","0","6078",""
"Same County","310316","0","25420","56320","19631","7793","1033","6396","0","5618","35304","50781","11214","24656","4065","10640","5014","1126","15849","0","29456",""
" -> Total -> Total Pennsylvania","12472364","11354215","24663","93523","113834","235144","0","83464","0","1941","146317","154320","8973","101568","0","59613","0","0","58782","0","36007",""
"Not Elsewhere Classified","11378445","11354215","0","0","4680","5419","0","14131","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","312096","0","10076","30800","16750","116077","0","18636","0","0","26493","38864","0","10568","0","22237","0","0","12894","0","8701",""
"Different State","168984","0","0","9060","18418","32398","0","18323","0","1941","11847","9731","0","52822","0","0","0","0","9703","0","4741",""
"Same County","612839","0","14587","53663","73986","81250","0","32374","0","0","107977","105725","8973","38178","0","37376","0","0","36185","0","22565",""
" -> Total -> Total Rhode Island","1010997","937240","1844","3046","10393","11198","2771","3962","0","0","13057","5873","0","3234","0","4953","822","0","694","0","11910",""
"Not Elsewhere Classified","952295","937240","0","0","2109","6093","1224","0","0","0","0","0","0","0","0","0","0","0","0","0","5629",""
"Different County, Same State","7480","0","0","0","1322","0","1547","0","0","0","0","0","0","0","0","0","822","0","694","0","3095",""
"Different State","14019","0","1844","0","6962","4104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1109",""
"Same County","37203","0","0","3046","0","1001","0","3962","0","0","13057","5873","0","3234","0","4953","0","0","0","0","2077",""
" -> Total -> Total South Carolina","4831823","4383465","46581","30292","42001","50684","1041","28985","4695","22289","55020","58457","6255","37731","2492","9023","17442","9208","9767","0","16395",""
"Not Elsewhere Classified","4389884","4383465","0","0","5361","1058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","155770","0","30858","19776","12159","18735","0","8875","4695","3535","26327","6907","6255","2762","0","7650","5047","0","0","0","2189",""
"Different State","75323","0","3659","3767","10952","26565","1041","0","0","13817","0","5341","0","0","0","0","0","4140","0","0","6041",""
"Same County","210846","0","12064","6749","13529","4326","0","20110","0","4937","28693","46209","0","34969","2492","1373","12395","5068","9767","0","8165",""
