date,Metro,State,Net flow
2018/4/1,San Luis Obispo,CA,749
2018/4/1,Salt Lake City,UT,666
2018/4/1,Tucson,AZ,601
2018/4/1,Charleston,SC,570
2018/4/1,Modesto,CA,564
2018/4/1,Memphis,TN,550
2018/4/1,Bellingham,WA,540
2018/4/1,Urban Honolulu,HI,532
2018/4/1,Fresno,CA,489
2018/4/1,Bakersfield,CA,469
2018/4/1,Virginia Beach,VA,467
2018/4/1,Albuquerque,NM,457
2018/4/1,Pittsburgh,PA,449
2018/4/1,Orlando,FL,439
2018/4/1,Salinas,CA,391
2018/4/1,Greensboro,NC,343
2018/4/1,Fort Collins,CO,341
2018/4/1,New Orleans,LA,317
2018/4/1,Grand Rapids,MI,296
2018/4/1,Richmond,VA,288
2018/4/1,Cleveland,OH,279
2018/4/1,Minneapolis,MN,259
2018/4/1,Madison,WI,251
2018/4/1,Columbus,OH,217
2018/4/1,Kansas City,MO,189
2018/4/1,Oklahoma City,OK,185
2018/4/1,Louisville,KY,181
2018/4/1,Rochester,NY,176
2018/4/1,Buffalo,NY,175
2018/4/1,Indianapolis,IN,167
2018/4/1,St. Louis,MO,147
2018/4/1,Greenville,SC,132
2018/4/1,Cincinnati,OH,112
2018/4/1,Lakeland,FL,90
2018/4/1,Asheville,NC,62
2018/4/1,Knoxville,TN,46
2018/4/1,Chico,CA,41
2018/4/1,El Paso,TX,39
2018/4/1,Albany,NY,34
2018/4/1,Birmingham,AL,32
2018/4/1,Columbia,SC,25
2018/4/1,Syracuse,NY,13
2018/4/1,Baton Rouge,LA,8
2018/4/1,Little Rock,AR,2
2018/4/1,Santa Maria,CA,-5
2018/4/1,Tulsa,OK,-33
2018/4/1,Dayton,OH,-46
2018/4/1,Omaha,NE,-84
2018/4/1,South Bend,IN,-189
2018/4/1,Rockford,IL,-250
2018/4/1,Detroit,MI,-263
2018/4/1,Eugene,OR,-288
2018/4/1,Houston,TX,-336
2018/4/1,Milwaukee,WI,-787
2018/4/1,Denver,CO,-3007
2018/4/1,Chicago,IL,-3428
2018/4/1,Washington,DC,-5900
2018/4/1,Los Angeles,CA,-13370
2018/4/1,New York,NY,-23559
2018/4/1,San Jose,CA,-27849
2018/7/1,Sacramento,CA,7029
2018/7/1,Atlanta,GA,5466
2018/7/1,Phoenix,AZ,5258
2018/7/1,Portland,OR,3904
2018/7/1,San Diego,CA,3206
2018/7/1,Miami,FL,3019
2018/7/1,Austin,TX,2983
2018/7/1,Tampa,FL,2811
2018/7/1,Dallas,TX,2741
2018/7/1,Nashville,TN,2603
2018/7/1,Las Vegas,NV,2360
2018/7/1,Raleigh,NC,2023
2018/7/1,Charlotte,NC,2003
2018/7/1,Seattle,WA,1560
2018/7/1,San Antonio,TX,1455
2018/7/1,Boston,MA,1434
2018/7/1,Bend,OR,1411
2018/7/1,Portland,ME,1378
2018/7/1,Colorado Springs,CO,1123
2018/7/1,Boise City,ID,1067
2018/7/1,Philadelphia,PA,1045
